 SEÑA ESPERADA,HUAWEI/5001,DISTANCIA TOTAL,#INCIDENCIAS,FALSAS,SAMSUNG-B/5000,DISTANCIA TOTAL.1,#INCIDENCIAS.1,FALSAS.1,S8/5003,DISTANCIA TOTAL.2,#INCIDENCIAS.2,FALSAS.2,SEÑA ESPERADA
A,A,105015.027,11,S/T,A,103104.334,11,T,A,97788.02,11,S/T,L
B,B,76562.419,13,-,B,60039.315,13,-,B,109410.098,13,-,O
BN,BN,140106.913,9,M/MAL/Ñ,BN,106115.002,8,B/M/MAL,B,66204.199,4,BN/HLA/M/N,Q
C,C,113241.826,13,-,C,101711.337,13,-,C,137578.591,13,-,J
CME,CME,301272.746,11,A/Z,CME,43618.135,13,-,CME,323832.775,11,A,P
D,D,117083.183,12,Z,D,108079.377,13,-,D,122600.054,11,Z,Q
E,E,31302.847,2,A/D/E/I/N/O/T,E,156133.712,13,-,E,169665.291,13,-,N
F,F,52489.775,5,-,F,130434.133,13,-,F,170096.104,13,-,O
G,G,120144.854,11,YO,G,111122.138,13,-,G,113609.655,12,YO,F
GRA,GRA ,285956.811,13,-,GRA,233013.692,13,-,GRA,388923.568,13,-,C
H,H,77789.345,6,K/N/P/X/Ñ,H,81444.987,6,NO/R/U,H,86395.27,6,K/N/R/U/X/Ñ,C
HLA,BN,59194.371,4,B/C/F/H/M/MAL,B,45325.23,7,HLA,HLA,98354.508,9,B,H
I,I,83565.203,6,H/J/SI,I,60055.957,5,H/J/SI,I,94547.443,6,H/J/SI,B
J,J,73197.738,7,I,J,53668.18,6,I/SI,PDN,90255.393,6,A/E/I/T/Y,N
K,P,67274.44,6,K/R/U,K,68082.761,8,P,K,85014.108,7,P,K
L,L,143187.581,13,-,L,126567.531,13,-,L,74618.153,4,A/D/G/H/K/L,Q
M,Ñ,70235.168,6,BN/M/N/U,Ñ,58025.237,6,BN/H/M/U,M,51218.597,5,BN/N/Ñ,C
MAL,MAL,107418.69,13,-,MAL,90105.918,13,-,MAL,144899.302,11,B/M,J
N,N,58336.398,7,NO/R/U,N,41437.455,7,NO/M/Ñ,N,22626.566,4,M/N/NO/R/U/V/Ñ,V
NO,NO,68075.129,7,N/U/V,NO,87839.057,9,N/U/V,V,51234.364,5,NO/U,G
O,O,77113.212,9,E,O,50182.843,7,E,E,141496.223,11,I/T,K
P,P,45232.213,7,K,P,47157.803,7,K,P,96742.216,8,K,I
PDN,PDN,117145.379,7,I/Y,PDN,95710.495,8,I/J,I,105988.822,6,J/PDN/SI/Y,S
Q,Q,55302.096,4,D/TU/X,D,49557.068,4,Q/TU/X,Q,91107.908,5,D/TU/X/Z,Y
R,R,85741.467,7,U,R,71541.716,7,U,R,114173.895,8,U,X
S,A,60578.503,4,E/F/L/N/T/TU,S,101264.448,12,T,S,160310.835,12,T,P
SI,I,70316.573,6,J/SI,I,75437.181,7,J/SI,I,82106.748,7,J/SI,K
T,T,81452.333,7,S,T,104328.099,10,S,T,142396.302,9,S,A
TU,TU,95662.291,7,K/L/N/NO/R/Z,N,54981.342,4,NO/TU/Z/Ñ,TU,155942.983,9,K/N/R/Z,N
U,U,119774.922,13,-,U,104772.978,13,-,U,129620.123,13,-,D
V,V,13108.323,13,-,V,86328.556,9,U,V,144452.399,11,U,K
W,W,102877.497,13,-,W,81564.823,13,-,W,142472.254,12,M,F
X,Q,53468.254,4,D/TU/X/Z,Q,65184.133,5,D/TU/X/YO/Z,Q,90075.864,6,D/TU/X/YO,X
Y,Y,80159.345,7,PDN,Y,77320.482,7,PDN,Y,131822.433,7,J/PDN,E
YO,YO,97364.403,11,G,YO,130788.451,13,-,YO,150049.873,12,G,A
Z,Z,62245.308,5,K/R/S/TU/YO,Z,34776.292,3,I/K/L/NO/R/S/T/Z,Z,68171.729,4,K/NO/R/TU/YO,W
Ñ,U,74611.935,6,N/R/Ñ,U,43157.125,5,N/R/Ñ,N,121359.729,7,U/R/Ñ,H
