SEÑA ESPERADA,HUAWEI/5001,DISTANCIA TOTAL,#INCIDENCIAS,FALSAS,SAMSUNG-B/5000,DISTANCIA TOTAL.1,#INCIDENCIAS.1,FALSAS.1,S8/5003,DISTANCIA TOTAL.2,#INCIDENCIAS.2,FALSAS.2
I,I,96564.188,9,J/SI,I,78903.266,8,SI/J,I,92101.964,9,SI/J
G,G,104234.291,12,YO,G,83855.194,11,"L,YO",G,119219.18,13,-
GRA,GRA,264370.813,13,-,GRA,194389.281,13,-,GRA,304617.564,13,-
HLA,HLA,49976.531,7,B/M/MAL,MAL,42445.012,6,B/HLA/M,HLA,39970.759,6,C/MAL/M/B
D,D,170117.488,13,-,D,119880.54,13,-,D,144216.771,13,-
L,L,142449.303,13,-L,L,112771.329,13,-,L,148815.866,13,-
A,A,101035.253,10,E/S/T,A,82784.4,9,E/S,A,95536.649,9,E/S
M,B,40235.188,7,M/N,B,29685.519,7,BN/HLA/M/MAL,M,35340.218,5,B/BN/O/N
B,B,49944.526,7,HLA/M/MAL,MAL,58226.443,6,"F/HLA/MAL,M",B,47404.962,5,F/HLA/M/MAL
I,I,96564.188,9,J/SI,I,78903.266,8,SI/J,I,92101.964,9,SI/J
F,F,107782.675,13,-,F,101015.191,13,-,F,125787.912,13,-
E,E,147817.17,12,O,E,131304.93,12,A,E,15438.151,13,-
S,S,115017.321,12,T,S,139397.91,10,E/T,S,155343.183,12,E
O,O,128125.342,11,C,O,92537.28,12,C,O,11141.983,13,-
N,N,69239.369,7,NO/R/M/Ñ,N,71938.552,8,NO/R/M/Ñ,N,89174.421,9,NO/R/M/Ñ
O,O,128125.342,11,C,O,92537.28,12,C,O,11141.983,13,-
HLA,HLA,49976.531,7,B/M/MAL,MAL,42445.012,6,B/HLA/M,HLA,39970.759,6,C/MAL/M/B
TU,TU,69543.948,6,D/L/Q,N,84562.828,7,E/NO/TU/Z,T,47813.922,2,B/CME/E/K/NO/TU/U/X
