SEÑA ESPERADA,HUAWEI/5001,DISTANCIA TOTAL,#INCIDENCIAS,SAMSUNG-B/5000,DISTANCIA TOTAL.1,#INCIDENCIAS.1,S8/5003,DISTANCIA TOTAL.2,#INCIDENCIAS.2,TOTAL ESPERADOS,precision,Tipo
A,5,506151.7399,50,5,443095.00142,46,5,478624.45284,46,15,100.0,0
B,5,318302.59641999996,48,3,356039.87272,46,5,366589.49367,42,15,86.67,0
BN,5,580113.5904999999,45,5,430200.63205,37,4,494755.8463,43,15,93.33,1
C,2,379742.46801,43,5,353758.47436,48,5,467164.28842,50,15,80.0,0
CME,5,1915784.1940000001,62,5,1284350.4468999999,61,5,1922486.3895,62,15,100.0,1
D,5,787078.3013,64,5,611614.3006,63,5,715014.8637999999,62,15,100.0,0
E,5,583865.6390000001,45,5,621902.2444,54,4,326888.07696000003,58,15,93.33,0
F,5,406079.2064,57,5,473611.2749,65,5,678676.8449,65,15,100.0,0
G,5,532550.4714,56,5,462916.80079,55,5,577509.754,60,15,100.0,0
GRA,4,1297980.5536,65,5,1025424.8106,65,5,1534943.1222,65,15,93.33,1
H,5,527886.6556,50,5,490461.2526,51,5,508270.7892,42,15,100.0,0
HLA,4,304379.01938,35,1,279493.69052,35,4,316556.18315,37,15,60.0,1
I,5,491704.86899999995,44,5,407249.26980999997,39,5,447882.2203,42,15,100.0,0
J,5,350089.13668,34,5,288476.24058,30,1,552114.5458999999,39,15,73.33,1
K,4,444246.3186,35,4,403375.32771,35,4,438279.99583,36,15,80.0,1
L,5,679811.3359000001,60,5,576806.4175,61,5,629622.1954,51,15,100.0,0
M,1,248848.3509,30,1,239580.20679,34,5,242937.87909,28,15,46.67,0
MAL,5,426902.18908000004,63,4,351162.80782,55,5,600203.7614,61,15,93.33,1
N,4,339495.44711,34,4,310378.86014,36,4,360209.73929,39,15,80.0,0
NO,5,786534.5996000001,48,4,686334.4469,45,4,564445.6089999999,36,15,86.67,1
O,5,504958.7941,46,5,417967.29980000004,56,4,292517.004,63,15,93.33,0
P,2,413698.56025,38,5,391889.23721,35,5,471830.8722,39,15,80.0,0
PDN,2,445999.65932,29,2,426373.3889,34,1,247235.255257,30,15,33.33,1
Q,1,248205.04564,17,1,424140.09079,37,2,358741.4638,28,15,26.67,1
R,5,513556.2899,48,5,356001.34708,38,4,544445.4523700001,46,15,93.33,0
S,4,467984.67880000005,45,4,586958.1982,48,5,669587.9454,53,15,86.67,0
SI,4,528316.1548,53,3,530464.9214,54,4,523316.06,54,15,73.33,1
T,4,404190.86063,33,5,353661.36159,41,5,529324.9566,41,15,93.33,0
TU,5,376450.87112,29,1,396479.83128,31,2,360627.18573,19,15,53.33,1
U,2,436513.61843000003,43,5,421589.07193,48,5,578143.5916,56,15,80.0,0
V,5,568455.8562,65,5,540203.5294,61,5,742234.003,63,15,100.0,0
W,5,664449.9241,65,5,585072.5967,65,2,488922.26587999996,35,15,80.0,0
X,3,286492.71415,25,1,312058.00539,28,1,365369.84591,41,15,33.33,1
Y,5,418149.37961,34,5,219118.00540000002,37,5,1018498.9173,36,15,100.0,0
YO,5,541871.52747,59,5,577156.2411,62,5,689948.6986,62,15,100.0,1
Z,5,412668.06055,32,5,349953.3238,27,2,383191.62641,21,15,80.0,1
Ñ,0,498649.2313,45,0,401478.6578,43,1,546877.4384999999,48,15,6.67,1
